date,price
1656547201,292.5127361329645
1656460801,304.18248614775774
1656374398,316.91460237233
1656288000,318.73121902995547
1656201601,330.42624551181757
1656115200,325.6325366717943
1656028801,304.39080194476315
1655942400,279.1988357095228
1655856002,299.6121559601694
1655769600,300.1451699372959
1655683200,300.18927557232365
1655596801,264.1001014636122
1655510400,288.83332418085485
1655424001,284.1402302980071
1655337601,329.1817794881416
1655251200,320.9111990370082
1655164801,321.47631114991634
1655078401,381.7958088004673
1654992001,415.8876028779023
1654905599,451.7325825091868
1654819201,486.06916826739985
1654732800,487.064041911646
1654646401,490.9208210474
1654560000,498.3872542724304
1654473601,474.32665931603225
1654387201,473.68277948055476
1654300800,466.1371952721866
1654214401,481.91187923054144
1654128000,478.717842055662
1654041600,478.888789113405
1653955201,478.94002534639804
1653868801,452.0773144985248
1653782401,446.95871230453577
1653696001,446.856804844716
1653609600,446.71428631271397
1653523200,446.856804844716
1653436800,446.84608244732397
1653350400,446.718753978294
1653264000,446.85144364601996
1653177601,446.856804844716
1653091201,446.856804844716
1653004801,446.81168142235794
1652918401,431.209358854155
1652832000,432.574721446518
1652745600,432.226136635164
1652659201,431.39403095644803
1652572798,432.56953159821
1652486401,432.50682093115506
1652400000,432.249923439909
1652313600,430.62550091950504
1652227200,432.43286559276606
1652140802,422.710143204146
1652054401,422.710143204146
1651968000,422.489110447867
1651881600,426.14945955277835
1651795200,434.7998070964277
1651708801,465.32487461800537
1651622401,440.0344598373723
1651536000,451.751103257271
1651449601,446.82149546533634
1651363200,431.25748253626506
1651276800,445.26026701386263
1651190401,464.81356090112666
1651104001,456.90456502622555
1651017601,444.7515875371588
1650931201,475.59399412979394
1650844800,462.0611711891715
1650758400,464.3007439141392
1650672000,468.8116537507762
1650585600,475.9407398028421
1650499200,499.05360624572603
1650412800,499.130956924771
1650326401,499.13744440107797
1650240000,499.12446944846397
1650153601,498.576527218842
1650067200,499.13744440107797
1649980801,499.11798197215694
1649894401,499.138941510995
1649808001,499.13844247435605
1649721600,499.53667371227795
1649635201,517.1040544446089
1649548800,517.0833865893691
1649462401,517.214110773762
1649376000,530.812119339556
1649289601,530.4213024061701
1649203199,541.279655255844
1649116800,547.9757240564039
1649030401,555.98031963257
1648944001,554.3619087079213
1648857600,555.9262434911736
1648771200,552.5655123250351
1648684801,556.9978534579375
1648598401,562.530614136192
1648512000,560.039526886858
1648425600,544.3760526104489
1648339200,535.7758013281789
1648252800,528.6386889450055
1648166401,537.927421735916
1648080001,532.6016301095106
1647993601,522.2973781091199
1647907201,492.7999449668248
1647820801,480.9322778854293
1647734400,499.422654682628
1647648000,499.501995999992
1647561600,499.46606785628006
1647475200,499.501995999992
1647388801,499.501995999992
1647302399,499.41666665867604
1647216001,499.501995999992
1647129601,499.37075847504406
1647043202,499.4620758403121
1646956801,499.501995999992
1646870400,499.354790411172
1646784001,499.501995999992
1646697600,0
1646611200,0
1646524801,0
1646438399,0
1646352002,0
1646265601,0
1646179200,0
1646092800,0
1646006401,0
1645920000,0
1645833600,0
1645747201,0
1645660801,0
1645574400,0
1645488000,0
1645401600,0
1645315201,0
1645228800,0
1645142401,0
1645056000,0
1644969601,0
1644883200,0
1644796800,0
1644710401,0
1644624001,0
1644537601,0
1644451201,0
1644364801,0
1644278401,0
1644192000,0
1644105601,0
1644019200,0
1643932798,0
1643846401,0
1643760001,0
1643673601,0
1643587200,0
1643500800,0
1643414401,0
1643328001,0
1643241601,0
1643155200,0
1643068799,0
1642982400,0
1642896000,0
1642809603,0
1642723201,0
1642636800,0
1642550401,0
1642464000,0
1642377602,0
1642291201,0
1642204802,0
1642118398,0
1642032000,0
1641945599,0
1641859200,0
1641772800,0
1641686401,0
1641600000,0
1641513601,0
1641427200,0
1641340802,0
1641254401,0
1641168000,0
1641081600,0
1640995201,0
1640908800,0
1640822399,0
1640736000,0
1640649601,0
1640563200,0
1640476801,0
1640390401,0
1640304000,0
1640217600,0
1640131201,0
1640044801,0
1639958401,0
1639872000,0
1639785600,0
1639699200,0
1639612801,0
1639526400,0
1639440001,0
1639353601,0
1639267201,0
1639180801,0
1639094400,0
1639008000,0
1638921601,0
1638835200,0
1638748801,0
1638662401,0
1638575998,0
1638489601,0
1638403201,0
1638316801,0
1638230401,0
1638144002,0
1638057600,0
1637971201,0
1637884798,0
1637798402,0
1637712001,0
1637625601,0
1637539200,0
1637452801,0
1637366400,0
1637280000,0
1637193601,0
1637107200,0
1637020801,0
1636934400,0
1636848001,0
1636761601,0
1636675201,0
1636588800,0
